,Cultivated,Forest,Garden,Water,Built,Unused
Cultivated, 824 , 120 , 2 , 5 , 124 , 4 
Forest, 49 , 397 , 18 , 3 , 13 , 8 
Garden, 12 , 4 , 52 , 0 , 4 , 0 
Water, 6 , 2 , 1 , 34 , 8 , 2 
Built, 14 , 4 , 1 , 2 , 301 , 0 
Unused, 3 , 6 , 3 , 2 , 4 , 72 
