,Cultivated,Forest,Garden,Water,Built,Unused
Cultivated, 548 , 94 , 7 , 11 , 230 , 18 
Forest, 47 , 416 , 4 , 2 , 56 , 7 
Garden, 8 , 12 , 27 , 0 , 18 , 11 
Water, 6 , 4 , 1 , 25 , 8 , 0 
Built, 53 , 39 , 4 , 2 , 353 , 3 
Unused, 14 , 19 , 2 , 3 , 9 , 42 
