,Cultivated,Forest,Garden,Water,Built,Unused
Cultivated, 507 , 311 , 115 , 9 , 107 , 40 
Forest, 353 ," 5,384 ", 220 , 30 , 71 , 157 
Garden, 174 , 214 , 309 , 5 , 38 , 22 
Water, 8 , 13 , 1 , 51 , 3 , 1 
Built, 86 , 99 , 30 , 6 , 222 , 8 
Unused, 23 , 168 , 13 , 1 , 3 , 158 
