,Cultivated,Forest,Garden,Water,Built,Unused
Cultivated, 638 , 240 , 127 , 12 , 107 , 27 
Forest, 245 ," 5,633 ", 126 , 23 , 77 , 86 
Garden, 91 , 180 , 374 , 3 , 31 , 9 
Water, 9 , 16 , 2 , 70 , 5 , 1 
Built, 55 , 42 , 15 , 5 , 324 , 3 
Unused, 26 , 65 , 13 , 2 , 10 , 269 
